wl;up_coef;dw_coef;wl_F;up_coef_F;dw_coef_F;Device ID
649.4664636;0.004782388;0.001933517;340.8164587;0.000550599;0.003736482;JB-015-AD
649.6424291;0.004770543;0.001928566;341.5760226;0.000544639;0.003705065;Date
649.8183628;0.0047587;0.001923616;342.3354218;0.00053868;0.003673655;20180131
649.9942648;0.00474686;0.001918667;343.0946562;0.000532723;0.003642252;Technician
650.170135;0.004735021;0.001913718;343.8537257;0.000526767;0.003610856;Tommaso
650.3459734;0.004723185;0.00190877;344.6126303;0.000520812;0.003579467;Place
650.52178;0.004711351;0.001903824;345.37137;0.000514858;0.003548084;Julich
650.6975549;0.004699519;0.001898878;346.1299447;0.000508906;0.003516708;
650.8732979;0.004687689;0.001893933;346.8883543;0.000502955;0.003485339;
651.0490092;0.004675861;0.001888989;347.6465988;0.000497005;0.003453977;
651.2246886;0.004664035;0.001884046;348.4046782;0.000491057;0.003422622;
651.4003363;0.004652251;0.001879122;349.1625923;0.00048511;0.003391274;
651.5759521;0.004640535;0.001874217;349.9203412;0.000479164;0.003359932;
651.7515362;0.004628871;0.001869306;350.6779248;0.00047322;0.003328597;
651.9270884;0.00461724;0.001864363;351.4353429;0.000467276;0.00329727;
652.1026089;0.004605626;0.001859362;352.1925957;0.000461335;0.003265949;
652.2780975;0.004594011;0.001854277;352.949683;0.000455394;0.003234634;
652.4535543;0.004582377;0.001849082;353.7066048;0.000449455;0.003203327;
652.6289793;0.004570708;0.001843758;354.4633609;0.000443517;0.003172027;
652.8043724;0.004558989;0.001838315;355.2199515;0.00043758;0.003140733;
652.9797337;0.004547206;0.001832766;355.9763764;0.000431645;0.003109446;
653.1550632;0.004535346;0.001827127;356.7326355;0.000425711;0.003078166;
653.3303609;0.004523395;0.001821414;357.4887289;0.000419778;0.003046893;
653.5056267;0.004511338;0.001815641;358.2446564;0.000413846;0.003015627;
653.6808607;0.004499162;0.001809823;359.000418;0.000407916;0.002984368;
653.8560628;0.004486865;0.001803979;359.7560137;0.000401987;0.002953115;
654.0312331;0.004474484;0.001798131;360.5114434;0.00039606;0.002921869;
654.2063716;0.004462071;0.001792306;361.266707;0.000390134;0.002890631;
654.3814781;0.004449675;0.00178653;362.0218045;0.000384209;0.002859399;
654.5565529;0.004437347;0.001780829;362.7767359;0.000378285;0.002828174;
654.7315957;0.004425135;0.001775229;363.5315011;0.000372363;0.002796956;
654.9066067;0.00441309;0.001769757;364.2861;0.000366442;0.002765744;
655.0815859;0.004401249;0.001764428;365.0405326;0.000360522;0.00273454;
655.2565331;0.004389593;0.001759224;365.7947989;0.000354603;0.002703342;
655.4314485;0.004378093;0.001754117;366.5488987;0.000348686;0.002672152;
655.606332;0.004366717;0.001749079;367.3028321;0.00034277;0.002640968;
655.7811837;0.004355435;0.001744081;368.0565989;0.000336856;0.002609791;
655.9560034;0.004344217;0.001739096;368.8101992;0.000330943;0.002578621;
656.1307913;0.004333033;0.001734095;369.5636329;0.000325031;0.002547458;
656.3055472;0.004321855;0.001729057;370.3168999;0.00031912;0.002516302;
656.4802713;0.004310672;0.001723985;371.0700001;0.000313243;0.002485296;
656.6549635;0.004299478;0.001718889;371.8229336;0.000307442;0.002454662;
656.8296238;0.004288265;0.001713777;372.5757003;0.000301732;0.002424512;
657.0042522;0.004277027;0.001708659;373.3283;0.000296126;0.002394963;
657.1788487;0.004265756;0.001703546;374.0807329;0.00029064;0.002366128;
657.3534132;0.004254444;0.001698445;374.8329987;0.000285288;0.002338122;
657.5279459;0.00424309;0.001693367;375.5850975;0.000280076;0.002310977;
657.7024466;0.004231701;0.001688317;376.3370292;0.000274983;0.002284401;
